Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459262,251,-0.04589844,-0.6572266,-0.08007812,16.19847,0.8931297,19.00763
1609459262,503,-0.5668945,-1.310547,0.02246094,-53.09923,-116.8626,-27.96947
1609459262,753,-0.3491211,-0.7739258,0.06396484,0.9541985,18.21374,-36.96947
1609459263,0,0.04101562,-1.074707,-0.2182617,-17.62595,-84.55725,4.19084
1609459263,257,0.04394531,-0.9755859,-0.3120117,17.30534,-17.18321,6.59542
1609459263,510,0.03466797,-0.7231445,0.1464844,-15.56489,-37.00763,-27.27481
1609459263,767,0.1186523,-0.9790039,0.0390625,-12.64886,-11.39695,-10.55725
1609459264,0,0.3457031,-0.9633789,-0.2285156,11.0687,-70.92367,12.75572
1609459264,252,0.1621094,-0.9487305,-0.1645508,-0.2137404,33.74046,22.63359
1609459264,506,-0.06298828,-1.040527,-0.04052734,-19.65649,44.22901,-33.41985
1609459264,761,0.2207031,-0.8525391,-0.1074219,0.1984733,110.9466,-36.40458
1609459265,0,-0.1621094,-0.7827149,0.06445312,18.68702,22.63359,30.24428
1609459265,256,0.7763672,-0.3955078,0.00976562,-22.17557,190.3588,-50.73283
1609459265,512,0.8022461,0.3295898,0.3320313,46.22137,25.43511,-224.084
1609459266,0,1.516602,0.3071289,-0.5664063,-67.93893,37.29771,-40.39695
1609459266,258,1.131836,0.05859375,-0.3427734,33.47328,-47.7939,45.09161
1609459266,514,1.048828,-0.2998047,-0.5478516,15.10687,37.23664,-7.290076
1609459266,771,1.078125,0.05175781,-0.6025391,10.87786,-25.93893,37.16031
1609459267,0,0.8867187,0.05126953,-0.7602539,-9.099236,-18.38168,-16.39695
1609459267,264,0.7924805,0.00585938,-0.6513672,0.8625955,-25.98474,-3.259542
1609459267,524,0.7641602,-0.02197266,-0.7026367,5.244275,-4.076336,8.419847
1609459267,790,0.7949218,-0.04736328,-0.6928711,-8.282443,14.58015,5.38168
1609459268,0,0.8603517,-0.00097656,-0.690918,-1.068702,4.175572,-4.21374
1609459268,259,1.011719,0.02832031,-0.7216797,-2.221374,61.70229,-8.916031
1609459268,519,1.082031,0.02636719,-0.4804688,-4.282443,14.79389,-11.83969
1609459268,780,0.9174805,0.02197266,-0.5131836,-22.82443,39.21374,11.14504
1609459269,0,1.018066,-0.04052734,-0.2026367,-9.511451,144.6107,-41.15267
1609459269,313,0.7509766,0.2084961,-0.1806641,-16.9542,11.05344,-10.48092
1609459269,574,1.036133,0.1787109,-0.1640625,4.38168,11.83206,10.44275
1609459269,840,0.6748047,0.1074219,0.1166992,-80.90839,134.9924,-35.25954
1609459270,0,0.9345703,0.1298828,-0.02441406,12.29771,-37.42748,13.23664
1609459270,262,1.055176,0.2871094,-0.125,-1.984733,1.564886,43.33588
1609459270,527,0.9448242,-0.09277344,0.1147461,3.687023,6.48855,78.71756
1609459271,0,0.8652344,-0.4858398,0.09863281,-8.458015,0.4580153,59.57252
1609459271,271,0.7109375,-0.6391602,0.06835938,3.396947,24.79389,58.31298
1609459271,539,0.00976562,-0.96875,-0.1171875,-3.19084,4.450382,65.89313
1609459271,808,0.06542969,-0.9892578,0.2192383,21.30534,41.8168,37.77863
1609459272,0,-0.1142578,-0.9799805,-0.04785156,-31.16031,41.52672,-35.54198
1609459272,271,0.2441406,-0.9296875,0.1069336,2.503817,33.10687,-68.58778
1609459272,538,0.5068359,-0.8696289,0.09179688,-39.57252,7.72519,-49.0
1609459272,805,0.7578125,-0.8085938,-0.1728516,-31.20611,10.22901,-36.80153
1609459273,0,0.7817383,-0.8720703,-0.1860352,-12.10687,8.519084,10.89313
1609459273,267,0.6679688,-0.8666992,-0.1245117,-12.38931,18.84733,42.03053
1609459273,587,0.3540039,-0.7792969,-0.08789062,-0.5114504,62.57252,62.66412
1609459274,0,0.1054688,-0.8261718,0.09667969,10.81679,87.82442,20.86259
1609459274,271,-0.01074219,-1.001465,0.1450195,-20.83206,36.27481,-6.938931
1609459274,541,0.0336914,-0.9951172,0.1245117,-26.58015,46.15267,-27.52672
1609459274,811,0.01123047,-0.9555664,0.121582,-6.763359,27.53435,-10.44275
1609459275,0,0.1264648,-0.9926758,-0.00927734,-15.45038,-5.175572,1.664122
1609459275,266,0.1630859,-0.9555664,-0.1352539,-7.412214,-18.12977,5.496184
1609459275,568,0.06103516,-1.204102,-0.00097656,0.6793893,49.73283,-9.175572
1609459275,816,0.8476563,-0.855957,-0.125,-24.07634,25.0458,-25.32825
1609459276,0,0.1992188,-0.7973633,0.06298828,-10.90076,75.55725,14.25191
1609459276,248,0.1098633,-0.9990234,0.1333008,-40.36641,0.5572519,6.167939
1609459276,499,0.1601563,-0.9086915,-0.09082031,-1.70229,50.31298,37.35115
1609459276,747,-0.06640625,-0.9335938,-0.08398438,17.94657,-16.44275,7.236641
1609459277,0,-0.1445313,-0.8759766,-0.0649414,11.0229,38.46565,-47.9771
1609459277,251,-0.04394531,-0.7836915,0.1538086,-12.23664,32.72519,-22.54962
1609459277,505,0.04589844,-1.079102,0.1953125,-45.38168,34.06107,-23.56489
1609459277,810,0.0415039,-0.9453125,-0.1123047,14.55725,-18.0687,39.35878
1609459278,0,-0.06591797,-1.01709,-0.00732422,25.83206,-23.92366,9.603053
1609459278,253,0.3466797,-0.9555664,-0.05664062,-18.67175,21.84733,-30.83969
1609459278,509,0.1689453,-0.9096681,0.1210938,-19.29771,95.8855,-21.94657
1609459279,0,0.3227539,-0.9243164,-0.1240234,-22.03817,17.79389,3.061069
1609459279,251,0.15625,-0.9340819,-0.03808594,4.335878,50.8168,0.7251908
1609459279,515,0.1962891,-1.131348,-0.1435547,-4.923664,33.21374,-25.16031
1609459279,773,0.1870117,-0.9472656,0.0522461,-6.977099,124.4657,-1.328244
1609459280,0,-0.08544922,-0.9194336,0.2080078,-24.52672,58.55725,-18.72519
1609459280,261,0.355957,-1.012695,-0.1533203,-4.793893,-33.94656,20.51908
1609459280,515,-0.00732422,-0.9931641,-0.046875,31.67939,-12.46565,24.66412
1609459280,770,0.331543,-0.7675782,0.01855469,-0.648855,24.00763,-32.05344
1609459281,0,0.06152344,-0.8632813,0.1220703,-19.66412,57.80152,-28.08397
1609459281,258,0.1782227,-1.366699,-0.09130858,-44.58779,37.59542,4.21374
1609459281,518,0.190918,-0.9414063,-0.1274414,25.34351,58.54198,29.10687
1609459281,780,0.03808594,-1.061035,0.01074219,3.167939,24.94657,-6.664122
1609459282,0,0.1777344,-0.8876952,0.02001953,-9.312977,156.2748,-14.22137
1609459282,261,0.01318359,-0.9531249,0.184082,-25.15267,40.51908,-9.496183
1609459282,519,0.3808594,-1.04834,-0.06103516,-11.29771,114.2443,27.83206
1609459282,779,-0.1274414,-0.9345703,0.0600586,8.435115,59.03817,0.4198473
1609459283,0,0.2338867,-1.07666,0.1894531,4.137404,82.51908,-25.51145
1609459283,261,0.1342773,-0.8789063,0.137207,-12.67939,10.87786,-10.24428
